TableNumber,ImageNumber,Image_FileName_DAPI,Image_PathName_DAPI,Image_FileName_Tubulin,Image_PathName_Tubulin,Image_FileName_CellMask,Image_PathName_CellMask,Image_FileName_Actin,Image_PathName_Actin,Image_Metadata_Plate_DAPI,Image_Metadata_Well_DAPI,Image_FileName_DAPIillum,Image_PathName_DAPIillum,Image_FileName_ActinIllum,Image_PathName_ActinIllum,Image_FileName_TubIllum,Image_PathName_TubIllum,Image_FileName_CellMaskillum,Image_PathName_CellMaskillum,Image_Threshold_OrigThreshold_Nuclei,Image_Threshold_FinalThreshold_Nuclei,Image_Threshold_WeightedVariance_Nuclei,Image_Threshold_SumOfEntropies_Nuclei,Image_Count_Nuclei,Image_Threshold_OrigThreshold_Cells,Image_Threshold_FinalThreshold_Cells,Image_Threshold_WeightedVariance_Cells,Image_Threshold_SumOfEntropies_Cells,Image_Count_Cells,Image_Count_Cytoplasm,Image_FileName_CellOutline,Image_PathName_CellOutline,Timepoint_char,Cell_line,Replicate,Timepoint,Image_Metadata_Compound,Image_Metadata_Concentration
0,1,Week10_200907_B02_s1_w18E215662-2CF7-4739-93F3-DBD0C40B78DB.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s1_w2D492FCE4-15C2-4C66-99A5-E2235A93A3CC.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s1_w3B031C2C2-6816-4B06-9320-8C01990FEF07.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s1_w436D0A3BC-098D-4271-B5AA-361CA0A7DC88.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,B02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.257807,-12.2592,333.0,0.0389,0.0389,0.608217,-12.8179,333.0,333.0,Week10_200907_B02_s1_w18E215662-2CF7-4739-93F3-DBD0C40B78DBOutline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,2,Week10_200907_B02_s2_w1CD1D8755-B3D7-4FD9-B53D-E02135CA94F0.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s2_w273BF3441-EEC5-4D6C-826D-15B81FAC24D9.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s2_w3B2A93699-74AF-4BED-84EE-60256BFAD7CB.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s2_w4E95A4CD8-0BCD-4113-9963-23C5842CDDE8.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,B02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.230529,-12.2151,398.0,0.0389,0.0389,0.548447,-12.5427,398.0,398.0,Week10_200907_B02_s2_w1CD1D8755-B3D7-4FD9-B53D-E02135CA94F0Outline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,3,Week10_200907_B02_s3_w17354DD8E-6CAE-4AD9-AB74-3A148CFEB9EF.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s3_w29331A3D0-8AA5-4620-8E19-9179BB20167E.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s3_w352BCB47B-B78F-41B4-ABE2-178BE22B89BA.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s3_w49826D8DD-AE9B-4A55-B2C7-DB0BCB6E13D9.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,B02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.250061,-12.1647,429.0,0.0389,0.0389,0.482056,-12.29,429.0,429.0,Week10_200907_B02_s3_w17354DD8E-6CAE-4AD9-AB74-3A148CFEB9EFOutline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,4,Week10_200907_B02_s4_w15542B66C-C2A8-4213-876C-90484327DBA6.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s4_w2E0FCA91C-1F4E-4F80-89C1-34B1E3917F0D.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s4_w3F2E24DAD-974E-4DC1-9EA6-F3AC0623C935.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_B02_s4_w4B2AF1152-3C67-4237-8624-801684919055.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,B02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.195142,-11.9249,437.0,0.0389,0.0389,0.434608,-12.3645,437.0,437.0,Week10_200907_B02_s4_w15542B66C-C2A8-4213-876C-90484327DBA6Outline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,41,Week10_200907_C02_s1_w160751543-AE48-4889-9B94-29A61EA96D96.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s1_w2ECD31092-428D-4C31-9680-B8B5B71890C0.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s1_w38ECA7AC9-68CC-48D8-9595-9E3D53F49E19.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s1_w4E6F3553B-789D-4BDD-8706-EC6E395777FF.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,C02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.253066,-12.2984,368.0,0.0389,0.0389,0.516234,-12.6897,368.0,368.0,Week10_200907_C02_s1_w160751543-AE48-4889-9B94-29A61EA96D96Outline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,42,Week10_200907_C02_s2_w1CBC77452-9C63-4107-A228-E50A0F5D688F.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s2_w2F8E5F9AF-B46A-42D6-B9E3-850954B5494E.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s2_w3090B34A3-8431-4A3E-A3E9-BF588518D882.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s2_w43CD92418-C848-4B13-A1EE-7AAB01982D9D.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,C02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.246384,-12.1188,432.0,0.0389,0.0389,0.428307,-12.2939,432.0,432.0,Week10_200907_C02_s2_w1CBC77452-9C63-4107-A228-E50A0F5D688FOutline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,43,Week10_200907_C02_s3_w179FBE23B-64F0-4E34-9794-EA344B86C463.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s3_w2DBE04C27-8FCE-4E54-96AC-57F2D8F96005.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s3_w34FFCB29F-85AF-4709-8386-08FA545CA989.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s3_w44462DB0D-082D-45CA-97E6-F60033334574.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,C02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.253654,-12.2429,364.0,0.0389,0.0389,0.454355,-12.6015,364.0,364.0,Week10_200907_C02_s3_w179FBE23B-64F0-4E34-9794-EA344B86C463Outline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,44,Week10_200907_C02_s4_w1F2DDDAA5-823A-4AB1-B458-204CDC6C4F1D.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s4_w27EFFDCB8-6E7A-4B7E-9ED9-88538C196291.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s4_w36429C9E4-F901-4D2C-AB9A-1C59869D5C3A.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C02_s4_w4C15D17A9-7C87-4870-B25E-BF95AA436DA6.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,C02,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.0627451,0.0627451,0.266202,-12.0208,489.0,0.0389,0.0389,0.337122,-12.1269,489.0,489.0,Week10_200907_C02_s4_w1F2DDDAA5-823A-4AB1-B458-204CDC6C4F1DOutline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,DMSO,0.000000
0,53,Week10_200907_C05_s1_w1CCD0C22C-717E-4F62-8FF2-321361577967.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C05_s1_w2DE115BC3-BC1E-4303-8219-92901B9FBFEF.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C05_s1_w305E4B11B-DFC8-4167-AA07-24316C7C7EF3.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C05_s1_w4600A942E-A27A-4005-B74E-596326F92938.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,C05,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.149132,-12.7496,70.0,0.0389,0.0389,0.308905,-12.7352,70.0,70.0,Week10_200907_C05_s1_w1CCD0C22C-717E-4F62-8FF2-321361577967Outline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,AZ138,3.000000
0,54,Week10_200907_C05_s2_w122FA5312-4E09-4618-911D-C42B8AC57D05.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C05_s2_w2335E4372-FA55-486D-855F-68D77C183C75.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C05_s2_w354A36530-9F54-4E93-8E33-4D7B6218EDAE.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_200907_C05_s2_w493B30605-2773-4607-BCEE-C83AD639E2D2.tif,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10/Week10_40111,Week10_40111,C05,Week10_40111DAPI.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Actin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111Tubulin.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,Week10_40111CellMask.mat,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10,0.05,0.05,0.217767,-12.5987,160.0,0.0389,0.0389,0.545162,-12.9053,160.0,160.0,Week10_200907_C05_s2_w122FA5312-4E09-4618-911D-C42B8AC57D05Outline.png,/imaging/analysis/2007_05_16_HCS_AstraZeneca/2008_10_28_AZ_Drives/MorphologyAssay/Week10OUTTry4,24,MCF-7wt,1.0,24.0,AZ138,3.000000
